"dataset_id","x.start","x.end","y.start","y.end","avg_log_p_value","RSS","r_squared","nb_points","leftmost","segment.squared_length","slope","loss","is_best","relative_segment_squared_length","linearity","relative_linearity","n","n_breakpoints","true_gamma"
1,-1.9,-1.57123942305042,-0.22977,-0.450598479537031,-0.552020424754494,0.000500463744982345,0.984373665123169,7,1,0.156848734330856,-0.6717,0.17783089,0,0.259896555132739,1.8061428728716,1,20000,1,0.125
1,-1.57123942305042,-0.8,-0.450937153753204,-0.54418,-0.432886807143823,0.000549457217533118,0.957544440378036,16,2,0.603504476043352,-0.1209,0.01666681,0,1,1.37206543015404,0.759666054531215,20000,1,0.125
1,-1.9,-1.68305807328612,-0.22342,-0.390074788101604,-0.654958272882972,9.42519465156446e-05,0.993651710173237,5,1,0.074837617963522,-0.7682,0.26853124,0,0.188409853934485,2.19734325405159,1,20000,2,0.125
1,-1.68305807328612,-1.42710921492737,-0.389713808624091,-0.476941179552752,-0.261174472038222,3.50611079470795e-05,0.988058206118236,5,2,0.073118432334272,-0.3408,0.00824464,1,0.184081662817403,1.92293042911681,0.875116086469966,20000,2,0.125
1,-1.42710921492737,-0.8,-0.47694636758577,-0.53972,-0.477666781767435,4.00369763931685e-05,0.991293893284941,13,3,0.3972064963733,-0.1001,0.02247001,0,1,2.06017601378357,0.937575870308336,20000,2,0.125
2,-1.15,-0.939541707602686,-0.53708725,-0.538809851123272,-0.894660996505857,7.3585075040343e-09,0.995625853378437,5,1,0.044295660193423,-0.008185,0.058474494225,0,1,2.35910666348661,0.89769245206013,3162,1,0.125
2,-0.939541707602686,-0.8,-0.538812186647911,-0.55592,-0.378629011452901,1.77358628168607e-07,0.997644774921644,3,2,0.0197645654383635,-0.1226,0.01623076,1,0.446196429899879,2.62796758296525,1,3162,1,0.125
2,-1.15,-1.03364253764389,-0.53710395,-0.538165944558924,-1.36677888729252,2.07126491727813e-12,0.999995026984131,3,1,0.0135401868783971,-0.009127,0.058019802129,0,0.67988613315218,5.30338015495237,0,3162,2,0.125
2,-1.03364253764389,-0.940073066281119,-0.538088802667162,-0.538723484391415,-0.186484160325864,0,1,2,2,0.0087556487919992,-0.006783,0.059154509089,0,0.439642691337476,Inf,NA,3162,2,0.125
2,-0.940073066281119,-0.8,-0.538747042073935,-0.55592,-0.378629011452901,1.77358628168607e-07,0.997644774921644,3,3,0.0199153743813251,-0.1226,0.01623076,0,1,2.62796758296525,0,3162,2,0.125
3,-2.35,-1.76824307307088,-0.248549999999999,0.689823923136665,-12.3530679189698,0.530407470353304,0.636715165245169,12,1,1.2189867416529,1.613,1000000.976144,0,0.440525810360138,0.43975273128609,0.409593188990318,20000,1,0.3125
3,-1.76824307307088,-0.8,0.689235573080024,-0.6634,-13.6330138810314,0.299270520576284,0.915595212553854,20,2,2.76711764211127,-1.397,1000000.595984,0,1,1.07363291945874,1,20000,1,0.3125
3,-2.35,-2.02840867868419,-0.0130300000000003,-0.141730846790587,-12.0024663619033,2.58663381244546e-09,0.99988939994188,7,1,0.119984885910262,-0.4002,0.05053504,1,0.03436084198222,3.95624464481027,0,20000,2,0.3125
3,-2.02840867868419,-1.93989575301272,-0.138461288049768,0.853768608727421,-12.7033567230967,0,1,2,2,0.992354706069395,11.21,1000112.042225,0,0.284186987276591,Inf,NA,20000,2,0.3125
3,-1.93989575301272,-0.8,0.849924583163522,-0.6308,-13.5423093334239,0.332838377316775,0.929235225579472,23,3,3.49190761892122,-1.299,1000000.454276,0,1,1.15018287340873,0,20000,2,0.3125
4,-1.8,-1.35113434603203,-0.19824,-0.363961199444976,-0.442435059899596,8.57958628244708e-05,0.995839909917098,9,1,0.228943891257577,-0.3692,0.14500864,0,0.625485183063726,2.38089726502626,0.84523142266235,20000,1,0.375
4,-1.35113434603203,-0.8,-0.364006368116698,-0.61356,-0.361917502830901,0.000112097574796299,0.998475450387356,12,2,0.366026082562297,-0.4528,0.08832784,0,1,2.81685843804386,1,20000,1,0.375
4,-1.8,-1.32385052022101,-0.19846,-0.373587778662711,-0.407043673981799,8.85911612114561e-05,0.996834329677173,10,1,0.257388065953135,-0.3678,0.14607684,0,1,2.49953431513132,0.719220339833516,20000,2,0.375
4,-1.32385052022101,-0.929308091372965,-0.373639709611748,-0.559745373299372,-0.419645283293294,7.82302790280337e-06,0.999665295730449,8,2,0.190299046217928,-0.4717,0.07745089,1,0.739346812810574,3.47533874766377,1,20000,2,0.375
4,-0.929308091372965,-0.8,-0.559788408267142,-0.60696,-0.299108855634276,9.16317606400294e-07,0.998624842963705,3,3,0.0189457415611304,-0.3648,0.14837904,0,0.0736076923029525,2.86164770466847,0.823415474705065,20000,2,0.375
5,-2.05,-1.72689884377883,-0.156115,-0.391881913694589,-0.237686651580741,0.000539154531669328,0.985729990847734,7,1,0.15998039474453,-0.7297,0.23011209,0,0.181274411033685,1.84557574834455,0.89585322026047,31622,1,0.125
5,-1.72689884377883,-0.8,-0.391661690776493,-0.5446,-0.437484457515153,0.000340640599262748,0.99129300782692,19,2,0.882531593026673,-0.165,0.007225,1,1,2.06013184593782,1,31622,1,0.125
5,-2.05,-1.83111796444641,-0.14809,-0.329805865916591,-0.203885938668663,9.80957232843849e-05,0.994341674989245,5,1,0.0809300014138996,-0.8302,0.33663204,0,0.126049179132797,2.24731211055104,0.77855044154547,31622,2,0.125
5,-1.83111796444641,-1.59192115214223,-0.330161881297043,-0.419621489098806,-0.461825503572698,4.23702317574828e-05,0.988213116551468,5,2,0.065218136444526,-0.374,0.015376,0,0.101577813169189,1.928601010853,0.668137354626932,31622,2,0.125
5,-1.59192115214223,-0.8,-0.419625758339668,-0.54174,-0.415465877665393,2.63885248958272e-05,0.9987014272973,16,3,0.642050999226556,-0.1542,0.00917764,0,1,2.88653373067259,1,31622,2,0.125
6,-1.75,-1.52680551988008,-0.20645,-0.241312977794731,-0.822348017406746,4.80059490405748e-07,0.999213980530945,5,1,0.0510312031767152,-0.1562,0.35259844,0,0.079999370505086,3.10456669671092,1,3162,1,0.375
6,-1.52680551988008,-0.8,-0.241287405142633,-0.57242,-0.317042711311419,0.000529634478120676,0.996367703627463,15,2,0.637895059105133,-0.4556,0.08667136,0,1,2.43981872300715,0.785880595057588,3162,1,0.375
6,-1.75,-1.47692561962701,-0.20675,-0.24809346118847,-0.709025328525397,2.14016720482707e-06,0.997856452693993,6,1,0.076278898999134,-0.1514,0.35832196,0,0.201494544845034,2.6688669275903,0,3162,2,0.375
6,-1.47692561962701,-1.36447518078192,-0.248265993527193,-0.323394131719598,-0.577138240281392,0,1,2,2,0.0182893383447101,-0.6681,0.00670761,1,0.04831220630657,Inf,NA,3162,2,0.375
6,-1.36447518078192,-0.8,-0.32312711409488,-0.56794,-0.288246025415821,0.000128830962270122,0.998087794267967,12,3,0.378565578823978,-0.4337,0.10004569,0,1,2.71846538429848,0,3162,2,0.375
7,-1.2,-0.922863559131244,-0.49928,-0.532286950107469,-0.36920138126516,1.60172608927144e-06,0.997427532883769,6,1,0.0778940656127983,-0.1191,0.01713481,0,1,2.58965016810313,0.860459518258116,31622,1,0.125
7,-0.922863559131244,-0.8,-0.53224238528526,-0.55222,-0.114740246560059,1.29472755382168e-07,0.999021891616253,3,2,0.0154945592520873,-0.1626,0.00763876,0,0.198918353152971,3.00961301857121,1,31622,1,0.125
7,-1.2,-1.14815818629399,-0.500012,-0.504716126175683,-0.128087851432783,0,1,2,1,0.0027097024514049,-0.09074,0.0253637476,0,0.0471141508039538,Inf,NA,31622,2,0.125
7,-1.14815818629399,-0.91016690038379,-0.504798753262286,-0.534357270972333,-0.489758146181348,2.11355164585467e-07,0.998882431362504,4,2,0.0575135581384077,-0.1242,0.01582564,0,1,2.95172579439695,0,31622,2,0.125
7,-0.91016690038379,-0.8,-0.534315845307557,-0.55224,-0.114740246560059,1.29472755382168e-07,0.999021891616253,3,3,0.0124580212616106,-0.1627,0.00762129,1,0.21661016401785,3.00961301857121,0,31622,2,0.125
8,-1.4,-1.17338168981469,-0.45788,-0.50769070457873,-0.36249322266627,3.14601881150601e-06,0.997402744333502,5,1,0.0538369648018732,-0.2198,0.28111204,0,0.348821654159013,2.58548529754666,0.928152417023848,31622,1,0.375
8,-1.17338168981469,-0.8,-0.507569511092632,-0.62974,-0.317683862258676,1.84445931602078e-05,0.998361772456963,8,2,0.154339514648741,-0.3272,0.17875984,0,1,2.78562577667697,1,31622,1,0.375
8,-1.4,-1.15949689932285,-0.45788,-0.510742581528837,-0.36249322266627,3.14601881150601e-06,0.997402744333502,5,1,0.0606361939612145,-0.2198,0.28111204,0,0.848781679194775,2.58548529754666,0.819780962472465,31622,2,0.375
8,-1.15949689932285,-0.906612650805254,-0.510620161051719,-0.597157150894442,-0.441750907274042,2.13938228984542e-06,0.999269609300746,5,2,0.0714390937593505,-0.3422,0.16630084,1,1,3.13644476571514,0.994473923800481,31622,2,0.375
8,-0.906612650805254,-0.8,-0.597153909942757,-0.62724,-0.110905453899734,2.7959273415059e-07,0.999298340046964,3,3,0.0122714301266556,-0.2822,0.21883684,0,0.171774717187666,3.15387330994955,1,31622,2,0.375
9,-3.05,-1.35815402190853,-0.4195875,-0.496143530508639,-12.4928868942085,0.000328770503884855,0.980749498178065,34,1,2.86820363939152,-0.04525,0.3361100625,0,1,1.71555794482267,0.668396860816199,5000,1,0.3125
9,-1.35815402190853,-0.8,-0.496357162488536,-0.7132,-13.3712661193899,0.000146727906677778,0.997287783500996,12,2,0.358556728352692,-0.3885,0.05593225,0,0.125010903489669,2.56667564645314,1,5000,1,0.3125
